Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1954-1861,1854-07-31,18,43,N/A,"31. We set out again by the boat at 8 this morning, and had a delightful voyage. The banks of the Rhine from Coblentz to Mainz surpassed my expectations and seemed to me really to deserve Byron's praise. I fancy we saw the vines at the right moment- their green was so vivid. When they begin to turn yellow they must look rather forlorn, but the feathery hanging woods which clothe the hills here and there would shew best in Autumn. When we landed at Mainz, it began to rain, but we were brave enough to set out on a walk through the town, and were rewarded by a sight of the Nassau soldiery exercising- richer than any caricature in Punch. We were fairly driven back to the station by the rain and the smells, so we sat quietly awaiting the time of starting by the train to Frankfurt admiring the prim architectural looking bouquets on the table of the waiting room and getting by heart the German faces about us. In the same carriage with us were a Prussian Graf, who carried a loaf of black bread on his lap and talked to every one with great bonhomie, a Dutchman, and an Austrian with his wife. They talked, like every one else of the Turks and Russians. The Dutchman declared with great emphasis that England was much less beloved by Germany than Russia because she (England) was a more formidable rival in trade! -After a 'mauvais moment' waiting for our luggage we got into the omnibus and were carried to the Weidenbusch near the Rossmarkt, a very comfortable hotel."
Diary 1954-1861,1854-08-01,18,43,N/A,"Aug. 1. Tuesday. The first thing we did this morning was to go and see Goethe's statue by Schwanthaler and then his home in the Hirschgraben. Next we walked to the Judengasse; a striking scene! Next to the Staedel Museum, where the one thing never to be forgotten was Hübner's picture ofJob and his friends. Lessing's pictures - Ezzelin in prison and Huss before the Council of Constance - are meritorious but not thrilling. We unfortunately missed Overbeck's picture of Christianity triumphing over the Arts. We filled up our minutes before dinner by a second visit to Goethe's house, and a drive to the Bibliothek where we saw Marchesi's statue of Goethe and the portraits of Luther and his wife. In the evening we went to the Main Lust and heard some agreeable music."
Diary 1954-1861,1854-08-02,18-19,43-44,N/A,"2. Heavy and continuous rain kept us in our hotel till it was time to see
Dannecker's Ariadne. It stands in a pavilion in the garden ofHerr Bethmann, a wealthy banker. I never saw any sculpture equal to this - the feeling it excites is the essence of true worship- a bowing of the soul before power creating beauty. At 5 o'clock we set out on our 10 hours' journey to Weimar. The second class carriage was so comfortable, and the weather so lovely after the morning rains that the first half of our journey was delightful instead of fatiguing. The splendid view we had of Marburg by the setting sun was worth the whole journey. we got a little tired and leg-achy before we reached Weimar at 1/2 past 3, but after a little difficulty we got some tolerable beds at the Erbprinz and slept away our fatigue by 9 o'clock."
Diary 1954-1861,1854-08-03,19,44,N/A,"3rd. It was very pretty to look out of the window, when dressing, on a garden that reminded one of an English Village. Our walk in search oflodgings made us acquainted with the physiognomy of the town, which is more like a huge village or market town than the precinct of a court. We soon obtained some lodgings and here we are at 62a Kaufgasse at the house of Frau Mtinderloh, on the whole as comfortable as need be. In the evening we walked to Ober Weimarto see ""Der Posse als Medicin"" at the ""Tivoli Theater"", a little wooden structure in a garden."
Diary 1954-1861,1854-08-04,19,44,N/A,"4. We took possession of our lodgings this morning and had enough to do
before dinner in arranging our books etc. We pay 9 thalers per month for our lodgings. Our dinner at the Erbprinz is 12 1/2 groschen = about 15d. In the evening we happened, in our walk, to find the Erholung, where a concert was going forward. The walks in the garden are beautifully arched over with treesfirs chiefly which with their falling leaves make a matting that deadens the sound of one's footsteps - a great charm to me. We sat down among the company, made up almost entirely of women, most of them good-looking well dressed bourgeoises, chatting with an air of real friendliness over their knitting etc. When we came home I read some of L.'s M.S. aloud."
Diary 1954-1861,1854-08-05,19,44,N/A,"5 Sat. We read, wrote and walked a little before dinner. After, I read Sainte Beuve aloud. A letter from Mr. Chapman, proposing to me to write an article on Victor Cousin's Mde. de Sable. We ordered the book at the ""Hof-Buchhandlung"", a modest shop in the Markt Platz. In the evening we walked to Tiefurt, and were delighted with the grounds there."
Diary 1954-1861,1854-08-06,19,44,N/A,"6 Sunday. We wrote our letters and then walked out. Saw the outside of
Goethe's house in the Frauen Place. Dined for the first time at the Russischer Hof. Linenless, German. Our evening walk was to Belvedere, an enchanting place. A rumbling awkward carriage pronounced to be ""ein hübscher Wagen""."
Diary 1954-1861,1854-08-07,19,44,N/A,"7 Monday. Rainy. A pleasant walk in the Pare, notwithstanding. Read M.S. in the evening."
Diary 1954-1861,1854-08-08,19,44,N/A,"8 Tuesday. L. called on Scholl, and in the afternoon he (Scholl) came and took us to the Schloss where we saw the Dichter Zimmer."
Diary 1954-1861,1854-08-09,21,46,N/A,"Wednesday 9. We went to the little Tivoli Theatre and saw a ""star"" in Kotzebue's play - Der Arme Poet and Numero 726 a farce known in England as ""The Lottery Ticket."" In the morning L. called on Liszt."
Diary 1954-1861,1854-08-10,21-22,46-47,N/A,Box Link:  https://unl.box.com/s/4seo5i6lsd6zvlwggaz5tdwooyv51idz Omeka Link: https://georgeeliotarchive.org/admin/items/show/3151
Diary 1954-1861,1854-08-11,22,47,N/A,"Friday 11. We went to the Bibliothek with Hofrath Schöll, and looked at the
portraits and busts. The most remarkable among them is one in bronze of Gluck. The rugged power of the face is given with wonderful reality, as far as possible from the feeble idealization one generally sees in busts. There is a bust of Goethe, taken during his stay in Italy, which represents him as an Apollo. It is exquisitely beautiful but I cannot believe the brow to be accurate. Lessing's head and face are small, but of a fine, delicate type. Jacobi is rather feeble looking. We walked about with Schöll till it began to rain and then sought shelter with him under a door place. He is a genial unaffected man, full of accurate knowledge on all literary and philosophical subjects, and there is no German heaviness either in his appearance or his mind. In the morning L. called on Frau von Goethe."
Diary 1954-1861,1854-08-12,22,47,N/A,"12 Saturday. The morning being bright, we went to spend our day at Belvedere, the Grand Duke's Summer residence. It stands on the most considerable elevation in the immediate neighbourhood of Weimar, and is surrounded with lovely gardens which one enjoys all the more because they are free to all the good people of the town. The road to Belvedere is remarkable. It is one long avenue of stately trees. Just as we were going to leave, afters or 6 hours of quiet happiness, we met Schöll and turned back with him. He was presently joined by his wife whom we saw for the first time."
Diary 1954-1861,1854-08-[13],23,48,N/A,"12 [13] Sunday. Another glorious morning! But L.'s head is bad, and that makes us melancholy. We called on the Princess and strolled till dinner. Finished Cousin's book on Madame de Sable. In the evening we walked to Ober Weimar and satisfied ourselves that the village was very ugly."
Diary 1954-1861,1854-08-[14],23,48,N/A,"13 [14]. We devoted the day to an expedition to Ettersburg. On our return homewards the solemn grandeur of the Pine forest, in contrast with the sunbathed woods through which we had been passing, had a strong effect on us. The Chaussee has a bordering of cherry trees and mountain ashes. The
bunches of coral berries gladdened our eyes."
Diary 1954-1861,1854-08-[15],23,48,N/A,"14 [15] Tuesday. We had our names set down for the Table d'hôte at the
Erbprinz, by which means our dinners will only cost us 10 silver groschen each. Our expenses here, including wine and washing are £2.6 per week. Liszt called and sat chatting for an hour with me."
Diary 1954-1861,1854-08-[16],23,48,N/A,15 [16] Wednesday. I wrote to my sister and to Mr. Bray.
Diary 1954-1861,1854-08-[17],23,48,N/A,16 [17] Thursday. Liszt dined with us at the Erbprinz and came home with us to take coffee. Much pleasant chat. Afterwards L. and I walked to Belvedere.
Diary 1954-1861,1854-08-[18],23,48,N/A,17 [18] Friday. Nothing particular.
Diary 1954-1861,1854-08-[19],23,48,N/A,18 [19] Sat. Letter from Miss Parkes. Not well.
Diary 1954-1861,1854-08-[20],23,48,N/A,"19 [20] Sunday. L. called on Liszt, and went again in the evening."
Diary 1954-1861,1854-08-[21],23,48,N/A,20 [21]. Bad headache. Scholl called in the afternoon.
Diary 1954-1861,1854-08-[22],23,48,N/A,21 [22]. Head still bad. Walked to Belvedere and saw the Theatre in the garden.
Diary 1954-1861,1854-08-[23],23,48,N/A,22 [23] Wed. Better. Wrote a little. Invited to Liszt's but did not go. Went to the Vogel-schiessenin the evening and saw Punch etc.
Diary 1954-1861,1854-08-24,23,48,N/A,"24. Wrote all morning. Afternoon, went to Schiller's house. Stupidity of people tricking out and altering such a place instead ofletting one see it as he saw it and lived in it. I played on his little claveçin, in which lay his guitar; Vogel-schiessen, Punch."
Diary 1954-1861,1854-08-25,23,48,N/A,25. Goethe's House. Study and Bedroom.
Diary 1954-1861,1854-08-30,23,48,N/A,"30. Arthur Helps came yesterday to Weimar on his way to Dresden. L was with him all morning. He took coffee with us after dinner. In the evening we drove to Ettersburg, and he entertained us with charming stories about his Spanish travels."
Diary 1954-1861,1854-09-02,23,48,N/A,"Sep. 2. Saturday. I went with G. to Bercka for the first time. A little Elysium and the way to it very lovely. We dined al fresco in the presence of a pretty little meadow scene with holy oaks in the foreground. In returning, the evening was enchanting."
Diary 1954-1861,1854-09-03,23,48,N/A,"3 Sunday. Bad headache and unable to work. In the evening we went to Belvedere, and I saw several parts of the garden which were new to me."
Diary 1954-1861,1854-09-04,24,49,N/A,4. Mr Chapman's letter came to say that my article must be ready in London by the 10th.
Diary 1954-1861,1854-09-08,24,49,N/A,8. Sent off my article on Mme. de Sable. Went to Tiefurt in the evening.
Diary 1954-1861,1854-09-09,24,49,N/A,9. We went to Belvedere and spent the day there. Wrote Mr. Chapman.
Diary 1954-1861,1854-09-10,24,49,N/A,"10 Sunday. Wrote to Miss Parkes. Then we walked out in the fields towards Gelmeroda and sat in the sunshine. In the evening, to a party at Liszt's - Herrmann's conjuring the chief amusement. Medallion ofLiszt by Rietschl very fine."
Diary 1954-1861,1854-09-11,24,49,N/A,"11. Walked in the Webicht, and talked of art. In the afternoon we went to Jena. Much struck by the scenery. Slept at the Sonne."
Diary 1954-1861,1854-09-12,24,49,N/A,"12. Saw Goethe's rooms at the Tanne, now occupied by Dr. Widmann and his
wife, a niece of Neander's. We then walked up the Hausberg, and had an
enchanting view of the little village of Lichtenhain, nestled among trees in a lovely valley. The winding walk among the pines and firs, the wild flowers, the delicious air and the unclouded sky were intoxicating. The town of Jena is unmitigatedly dull and ugly, but Nature around it is enough to reconcile one to being there a short time. As we sat on the side of the hill, in ascending, the town looked very pretty and we heard scarcely a sound except the music of a band at various distances. We came home by a Wagen which started from the Sonne at 4. I was amazed at the beauty of the road, which I had not seen well as we went, from being shut up in a close Wagen. The evening sky was beautiful and we had full leisure to observe it, for we did not reach Weimar till 1/2 past 7. The little town looked more bright and cheety than ever after Jena."
Diary 1954-1861,1854-09-13,24,49,N/A,13 Wednesday. I was not at all well and overwalked myself by going to Belvedere in the evening. The Scholls and Sauppes were there.
Diary 1954-1861,1854-09-14,24,49,N/A,"14. Very unwell this morning, and glad in the afternoon to hear that Liszt
wished to put off our going to him. We had a delicious walk in the open fields, came home, and finished the M. S. of Goethe's life."
Diary 1954-1861,1854-09-16,24,49,N/A,16 Saturday. We went to the Weimar Theatre for the first time and heard Ernani.
Diary 1954-1861,1854-09-17,24,49,N/A,17. We deferred going to Ilmenau and passed the day quietly
Diary 1954-1861,1854-09-18,24,49,N/A,"18. Liszt came to dine with us at the Erbprinz and introduced M. Rubinstein, a young Russian, who is about to have an opera of his performed here."
Diary 1954-1861,1854-09-19,24,49,N/A,"19 Tuesday. We went to an evening party at Liszt's and heard the instrument, half organ, half piano, which he has had constructed for himself."
Diary 1954-1861,1854-09-20,24-25,49-50,N/A,"20. We set off for Ilmenau by railway. I read Liszt's account of""Der Fliegende
Hollander"" by the way. When we reached Neu Dietendorf, we had to get into the Post Wagen which turned out to be a disagreeable omnibus-like vehicle. At Arnstadt we were placed in a Beiwagen with two other passengers and had a pleasant view of the charming country all the way to Ilmenau. But the jolting vehicles and other désagréments had made us both ill and we could only crawl to our beds about 8 o'clock."
Diary 1954-1861,1854-09-21,25,50,N/A,21. We were better this morning but not equal to much walking. We rambled to a pretty stream and there sat watching a caterpillar. When it had been cut in two the fore-part set to work to devour the other hal£ In the afternoon we had a two hours' walk in the pine woods. They are sublime.
Diary 1954-1861,1854-09-22,25,50,N/A,"22. This morning we set out to find the Gabelbach. It rained a little, but still our walk was very pleasant. From the Gabelbach we went on to Kickelhahn, where Goethe's queer little wooden house stands. We wrote our names near one of the windows. The view ofhills from this point is very grand. We did exploits on our way home, not knowing the road, and were amused to find ourselves at last at the spot from which we had begun our uphill walk to the Gabelbach. In the evening we turned out again and walked to Elgersberg."
Diary 1954-1861,1854-09-23,25,50,N/A,23 Saturday. We went to Elgersberg and continued along the Chaussee till we came to Stutzerbach where we took a guide to Gabelbach. He took us up the hills through glorious pine and beech woods.
Diary 1954-1861,1854-09-24,25,50,N/A,"24 Sunday. We walked from Ilmenau to Arnstadt - a 4 hours' journey. The road is very fine and varied. Dined at the Goldene Henne, and had a boar's head splendidly decorated with green branches, a lemon in its mouth and a cross formed of carrot on its brow. We got the coupe of the Post Wagen and travelled comfortably to Neu Dietendorf, where we waited half an hour, for the train to Weimar. We reached home about half past 6 and enjoyed taking coffee snugly in our own lodgings once more. I read the Kestner letters at Ilmenau."
Diary 1954-1861,1854-09-25,25,50,N/A,"25. The morning looked so lovely that we were tempted to walk to Bercka, but it became very windy before we had been out long. The little valley looked more lovely than ever. We had a smart shower on setting out home, but were compensated by the sight of a lovely rainbow, which sprang from the very ground. It continued fine after this and we had a delicious evening walk."
Diary 1954-1861,1854-09-26,25,50,N/A,"26. In the afternoon we called at Herr Scholl's, had some pleasant chat with him and his wife, and then walked in the Park, Scholl accompanying us."
Diary 1954-1861,1854-09-27,25,50,N/A,"27. Mr Williams, an agreeable, unaffected young man, took coffee with us. In the evening we set out to go to Belvedere, but turned off into the open fields and found out a new walk. The sky was grand."
Diary 1954-1861,1854-09-28,25,50,N/A,"28 Thursday. The morning was too beautiful to be spent in doors, so we set out on the same walk that we had yesterday, and got atlastto Belvedere, where we went to look at the landscapes in the glass globes."
Diary 1954-1861,1854-09-29,25,50,N/A,29. In the afternoon the Princess Wittgenstein called and chatted pleasantly. G. then went to Mr. Wilson's to meet Eckermann.
Diary 1954-1861,1854-09-30,25,50,N/A,30. G. dined at the Marquis de Ferriere's.
Diary 1954-1861,1854-10-01,26,51,N/A,Oct. 1. In the morning I partly condensed Liszt's article on Meyerbeer for the Vivian paper. In the evening walked and read aloud the Wahlverwandtschaften.
Diary 1954-1861,1854-10-02,26,51,N/A,"2. Finished Liszt's article. In the evening we went to the theatre and saw ""Die Journalisten"". Genast, an actor of Goethe 's time, was admirably humourous in
the character of an obese wine-merchant. The face and tone with which he said ""Es ist hiibsch heute, Lotte "" is something to be remembered."
Diary 1954-1861,1854-10-03,26,51,N/A,"3 Tuesday. Mr. Marshall called and immediately after came the Marquis de Ferriere. We had an hour's agreeable talk about Byron etc. etc. and when the marquis left we had a little walk with Mr. Marshall. He spoke of Strauss with great admiration - thought the man excellent as well as the writer. At 1/2 past 6 we went to hear Tannhauser. The overture and the first and second acts thrilled me, but the third I felt rather wearisome. The tragedy in this act is very fine, but either I was too much fatigued to relish the music, or it is intrinsically monotonous and spun out beyond any but German patience."
Diary 1954-1861,1854-10-04,26,51,N/A,"4 Wednesday. Translated in the morning and wrote to Mr. Chapman. In the afternoon walked to Belvedere with Mr. Marshall, met Mr Wilson on our return and took tea with him. He told us that one day when he had been walking with Carlyle who as usual had his dog with them, they were about to get into an omnibus and Carlyle drew out a horribly noisy whistle with which he summoned his dog. ""Don't make that noise, man!"" said the conductor of the
omnibus; and Carlyle was at once silent, feeling himself rebuked."
Diary 1954-1861,1854-10-05,26,51,N/A,5. Thursday. G. dined at the Marquis de Ferriere's and I read Rameau's Neffe.
Diary 1954-1861,1854-10-06,26,51,N/A,"6 Friday. Mr. Marshall and Mr. Wilson came in the afternoon and we had a long conversation about Christianity. We walked out into the open fields, and then read the Wahlverwandtschaften."
Diary 1954-1861,1854-10-07,26,51,N/A,"7 Saturday. G. having finished his comedy, we had a long walk to Belvedere and through the grounds there. They are lovely now in their autumn dress. In the evening we went to hear ""Der Markt von Richmond"", an opera of Flotow's, a mere ragout ofborrowed scraps."
Diary 1954-1861,1854-10-08,26,51,N/A,"8 Sunday. Mr. Marshall called in the morning and walked with us. We called on Eckermann, who is interesting to look at though shattered in mind and body."
Diary 1954-1861,1854-10-09,26,51,N/A,"9. We had tea at Mr. Wilson's, and talked about women."
Diary 1954-1861,1854-10-10,26,51,N/A,"10. To Bercka. The day was lovely--warm as a July day, and the woods looked magnificent under the bright sky."
Diary 1954-1861,1854-10-11,26,51,N/A,11 Wednesday. I was ill this morning and staid in doors all day. G. went to call on the Princess and had some interesting conversation with her about Madame d' Agout and Liszt. A painful letter from London caused us both a bad night.
Diary 1954-1861,1854-10-12,27,52,N/A,"12. I was still not well enough to go out. The Marquis de Ferriere called in the afternoon, and afterwards Mr. Marshall. It rained heavily the whole day."
Diary 1954-1861,1854-10-13,27,52,N/A,13 Friday. Better. G. wrote letters to Carlyle and Helps explaining his position. The rain continued all day.
Diary 1954-1861,1854-10-14,27,52,N/A,"14. A fine morning once more. I walked out with G. Began to read Egmont after dinner, then ""The Hoggarty Diamond"". Walking in the afternoon we met Schöll and he turned back with us. I received a letter from sister-with melancholy news about her boy Robert- and a letter from Mr. Chapman. G. dined with the
Marquis de Ferriére."
Diary 1954-1861,1854-10-15,27,52,N/A,"15 Sunday. Wrote to Chrissey and Mr Chapman. G. wrote to Robert Chambers. Read the Hoggarty Diamond in the afternoon and walked out. In the evening to the Theatre to hear the ""Fliegende Holländer""."
Diary 1954-1861,1854-10-16,27,52,N/A,"16 Monday. A dismal, rainy day. The Michaelmas fair, which is going on, causes an incessant buzz of voices under our windows, not soothing to the nerves. I wrote to Mr. Bray. In the afternoon Mr. Marshall sat with us for an hour or two. The rest of the time was filled up with the ""Hoggarty Diamond""."
Diary 1954-1861,1854-10-17,27-28,52-53,N/A,"17 Tuesday. The weather has cleared up and we have had a pleasant walk once more. We have been to the Bibliothek again, that I might see the busts etc. on the upper floor. The bust of Gluck by Houdon gave me new pleasure. I never saw more reality and animation even in a portrait. The bust of Lessing too impresses one as a probable likeness. It is full of bright good sense. But one gets sceptical about all busts and portraits on comparing the cast of Schiller 's skull with the head given to his bust. When the eyebrows of the bust and that of the skull are placed on a level, the departure of the artist from the true proportions is so gross that one sees it can have arisen from no mere incorrectness of perception , but only from a false principle. The same disgust at the incompetence or
untruthfulness of artists is produced by the discrepant portraits and busts of Goethe; but there is one likeness ofhim that is really startling and thrilling from the idea it gives one of perfect resemblance. It is painted on a cup and is a tiny miniature, but the execution is so perfect that on applying a magnifying glass every minute stroke has as natural an appearance as the texture of a flower
or the parts of an insect under the microscope. In a sort of cupboard with glass doors are preserved the coat in which Gustavus Adolphus was shot , Luther's gown, Goethe's court coat, and his Schlafrock, etc. There are endless trifles preserved in the various rooms-toys that pleased Carl Friedrich, the last Duke - a nodding and winking figure etc. The only portraits that had any interest for me in the smaller rooms are those of the Grand Duchess Amalia and the Jagermann, Carl August's mistress. In the large Saal of the Library there is a portrait of Kant which one likes to look at in the faint hope that it may resemble him a little, but the grand objects of interest are the bust of Gluck , the portrait of Goethe on the cup, and the relics of Gustavus Adolphus, Luther and Goethe.
The bust of Goethe taken when he was in Italy by Trippel is strikingly beautiful, but it is evidently so idealized on the Apollo type and so degraded by the front fuyant which the artist has chosen to give it that one has little satisfaction in looking at it. - In the afternoon finished the Hoggarty Diamond. Mr. Marshall came to sit with us and then we went to the Theatre to see ""Der verwunschene Prinz"", a farce founded on Shakspeare's Christopher Sly. Hettstedt, the Christopher Sly of the piece acted with great entrain and humour. This was followed by a vaudeville adapted from the French, ""Gu ten Morgen, Herr Fischer"", in which Franke acted the part of Doctor Hippe admirably."
Diary 1954-1861,1854-10-18,28,53,N/A,"18 Wednesday. Mr. Marshall brought us the Life of Sheridan and sat chatting with us and then walked out. A sombre autumn afternoon. In the evening we went to see Der Freischiitz which I had never seen before, though familiar with the music. The childish  construction of the drama made still more apparent by the rude bug-a-boo style in which it was put on the stage. The absence of recitative- the descent from Weber's rich melody to ordinary speaking intolerable. And set in Germany- this land of music- they even play Don Juan without recitative!"
Diary 1954-1861,1854-10-20,28,53,N/A,"20 Friday. G. got some interesting particulars from Frau Riemer about Goethe - especially about his attachment to Minna Herzlieb, which threw light on the sad experience he declares himself to have deposited ""as in a burial um"" in the Wahlverwandtschaften. I read Egmont in the evening. Curiously enough after we had been making up our minds in the morning thatthe Schölls had some reason for being cold to us, there came an invitation from them to tea at 8 o'clock. Before we went came a letter of noble sympathy from Carlyle. Our evening was very pleasantly passed at the Schölls'. Mr. Marshall and the Sauppes
there."
Diary 1954-1861,1854-10-21,28,53,N/A,21 Saturday. A letter from Helps the first thing this morning. In the afternoon we walked with the Schölls and Sauppe. In the morning we had had a glorious walk to Belvedere and in the grounds there. Egmont in the evening. Moore's Life of Sheridan.
Diary 1954-1861,1854-10-22,28,53,N/A,"22 Sunday. A letter from Mr. Bray which occupied us painfully for some time after breakfast. Then we walked. G. dined at Liszt's it being Liszt's 43rd
birthday. In the evening went to hear Lohengrin but only staid out two acts."
Diary 1954-1861,1854-10-23,28,53,N/A,23. Monday. I wrote to Mr. Bray. L. breakfasted with the Marquis de Ferriere. Afternoon rainy. Headache in the evening. Letter from R. Chambers.
Diary 1954-1861,1854-10-24,28,53,N/A,24 Tuesday. Bad headache all day. Gross Cophta in the evening. Looked through Moore's Life of Sheridan in the morning- a firstrate specimen of bad biographical writing.
Diary 1954-1861,1854-10-25,29,54,N/A,25 Wednesday. L. dined with the Marquis de Ferriere. I was not yet well.
Diary 1954-1861,1854-10-26,29,54,N/A,"26. Walked to the Webicht. In the evening we went to a concert rehearsal at the theatre. Heard Clara Schumann play, Mlle Genast sing, and a prelude of Liszt's played by the orchestra."
Diary 1954-1861,1854-10-27,29,54,N/A,"27. I read Götz in the morning. In the afternoon, Liszt, the Marquis de Ferriere and Mr. Marshall sat with us. Walked, read the ""Bürgergeneral"", and chatted with Mr. M. again in the evening."
